,close,Company,Date
74809,91.150002,VNO,2016-01-19
74810,88.440002,VNO,2016-01-20
74811,88.849998,VNO,2016-01-21
74812,90.769997,VNO,2016-01-22
74813,90.160004,VNO,2016-01-25
74814,92.059998,VNO,2016-01-26
74815,91.150002,VNO,2016-01-27
74816,86.940002,VNO,2016-01-28
74817,88.459999,VNO,2016-01-29
74818,87.839996,VNO,2016-02-01
74819,85.239998,VNO,2016-02-02
74820,86.110001,VNO,2016-02-03
74821,86.089996,VNO,2016-02-04
74822,84.260002,VNO,2016-02-05
74823,52.98,VRSK,2013-01-02
74824,53.59,VRSK,2013-01-03
74825,53.5,VRSK,2013-01-04
74826,53.259998,VRSK,2013-01-07
74827,53.900002,VRSK,2013-01-08
74828,53.950001,VRSK,2013-01-09
74829,53.869999,VRSK,2013-01-10
74830,53.900002,VRSK,2013-01-11
74831,54.419998,VRSK,2013-01-14
74832,55.029999,VRSK,2013-01-15
74833,53.889999,VRSK,2013-01-16
74834,53.84,VRSK,2013-01-17
74835,54.580002,VRSK,2013-01-18
74836,54.540001,VRSK,2013-01-22
74837,54.52,VRSK,2013-01-23
74838,55.18,VRSK,2013-01-24
74839,54.990002,VRSK,2013-01-25
74840,54.970001,VRSK,2013-01-28
74841,55.310001,VRSK,2013-01-29
74842,55.299999,VRSK,2013-01-30
74843,55.16,VRSK,2013-01-31
74844,55.709999,VRSK,2013-02-01
74845,54.810001,VRSK,2013-02-04
74846,55.099998,VRSK,2013-02-05
74847,54.5,VRSK,2013-02-06
74848,54.290001,VRSK,2013-02-07
74849,54.900002,VRSK,2013-02-08
74850,54.619999,VRSK,2013-02-11
74851,54.23,VRSK,2013-02-12
74852,54.57,VRSK,2013-02-13
74853,54.27,VRSK,2013-02-14
74854,54.880001,VRSK,2013-02-15
74855,55.0,VRSK,2013-02-19
74856,54.310001,VRSK,2013-02-20
74857,53.73,VRSK,2013-02-21
74858,54.439999,VRSK,2013-02-22
74859,53.700001,VRSK,2013-02-25
74860,53.900002,VRSK,2013-02-26
74861,58.049999,VRSK,2013-02-27
74862,58.470001,VRSK,2013-02-28
74863,59.0,VRSK,2013-03-01
74864,59.369999,VRSK,2013-03-04
74865,59.32,VRSK,2013-03-05
74866,59.34,VRSK,2013-03-06
74867,59.369999,VRSK,2013-03-07
74868,59.709999,VRSK,2013-03-08
74869,59.84,VRSK,2013-03-11
74870,58.700001,VRSK,2013-03-12
74871,59.189999,VRSK,2013-03-13
74872,59.560001,VRSK,2013-03-14
74873,60.049999,VRSK,2013-03-15
74874,59.73,VRSK,2013-03-18
74875,59.830002,VRSK,2013-03-19
74876,60.07,VRSK,2013-03-20
74877,60.02,VRSK,2013-03-21
74878,61.23,VRSK,2013-03-22
74879,61.099998,VRSK,2013-03-25
74880,61.380001,VRSK,2013-03-26
74881,61.549999,VRSK,2013-03-27
74882,61.619999,VRSK,2013-03-28
74883,65.120003,VRSK,2014-01-02
74884,65.129997,VRSK,2014-01-03
74885,63.650002,VRSK,2014-01-06
74886,63.610001,VRSK,2014-01-07
74887,63.360001,VRSK,2014-01-08
74888,63.139999,VRSK,2014-01-09
74889,62.93,VRSK,2014-01-10
74890,62.450001,VRSK,2014-01-13
74891,63.0,VRSK,2014-01-14
74892,63.43,VRSK,2014-01-15
74893,64.120003,VRSK,2014-01-16
74894,63.450001,VRSK,2014-01-17
74895,64.019997,VRSK,2014-01-21
74896,63.970001,VRSK,2014-01-22
74897,64.160004,VRSK,2014-01-23
74898,63.57,VRSK,2014-01-24
74899,63.310001,VRSK,2014-01-27
74900,63.860001,VRSK,2014-01-28
74901,63.68,VRSK,2014-01-29
